b1,b2,m,k,n,latency_us,mfu
1,8,1,128,128,18.765,4.5e-05
1,8,2,128,128,19.07,8.8e-05
1,8,4,128,128,18.965,0.000177
1,8,8,128,128,19.451,0.000346
1,8,16,128,128,19.404,0.000693
1,8,32,128,128,18.884,0.001424
1,8,64,128,128,19.123,0.002812
1,8,128,128,128,19.196,0.005603
1,8,256,128,128,15.421,0.013948
1,8,512,128,128,14.893,0.028886
1,8,1024,128,128,14.73,0.058407
1,8,2048,128,128,15.031,0.114479
1,8,4096,128,128,20.909,0.164594
1,8,1,128,256,19.987,8.4e-05
1,8,2,128,256,15.405,0.000218
1,8,4,128,256,15.145,0.000444
1,8,8,128,256,15.478,0.000869
1,8,16,128,256,15.366,0.00175
1,8,32,128,256,15.592,0.003449
1,8,64,128,256,14.969,0.007185
1,8,128,128,256,14.924,0.014413
1,8,256,128,256,14.952,0.028771
1,8,512,128,256,15.421,0.055793
1,8,1024,128,256,15.026,0.114519
1,8,2048,128,256,20.251,0.16994
1,8,4096,128,256,33.365,0.206291
1,8,1,128,512,19.509,0.000172
1,8,2,128,512,14.861,0.000452
1,8,4,128,512,15.143,0.000888
1,8,8,128,512,15.009,0.001791
1,8,16,128,512,14.801,0.003633
1,8,32,128,512,14.901,0.007217
1,8,64,128,512,14.868,0.014466
1,8,128,128,512,15.049,0.028586
1,8,256,128,512,15.437,0.055733
1,8,512,128,512,20.493,0.083966
1,8,1024,128,512,20.04,0.171731
1,8,2048,128,512,32.111,0.21435
1,8,4096,128,512,57.585,0.239053
1,8,1,128,1024,15.504,0.000434
1,8,2,128,1024,15.388,0.000874
1,8,4,128,1024,15.443,0.001741
1,8,8,128,1024,15.453,0.00348
1,8,16,128,1024,15.361,0.007001
1,8,32,128,1024,15.93,0.013502
1,8,64,128,1024,15.683,0.02743
1,8,128,128,1024,15.926,0.054023
1,8,256,128,1024,20.911,0.082287
1,8,512,128,1024,34.258,0.100457
1,8,1024,128,1024,31.451,0.218845
1,8,2048,128,1024,56.368,0.244214
1,8,4096,128,1024,104.134,0.264389
1,8,1,128,2048,15.372,0.000875
1,8,2,128,2048,15.224,0.001766
1,8,4,128,2048,15.159,0.003547
1,8,8,128,2048,15.082,0.007131
1,8,16,128,2048,15.17,0.014179
1,8,32,128,2048,15.108,0.028474
1,8,64,128,2048,15.48,0.055578
1,8,128,128,2048,20.692,0.083159
1,8,256,128,2048,34.201,0.100625
1,8,512,128,2048,64.512,0.106693
1,8,1024,128,2048,56.736,0.242631
1,8,2048,128,2048,104.625,0.263147
1,8,4096,128,2048,203.485,0.270603
1,8,1,128,4096,15.64,0.001719
1,8,2,128,4096,15.395,0.003493
1,8,4,128,4096,15.387,0.006989
1,8,8,128,4096,15.267,0.014089
1,8,16,128,4096,15.23,0.028247
1,8,32,128,4096,15.413,0.055821
1,8,64,128,4096,20.338,0.084608
1,8,128,128,4096,34.474,0.099828
1,8,256,128,4096,67.054,0.102648
1,8,512,128,4096,124.87,0.110242
1,8,1024,128,4096,105.81,0.2602
1,8,2048,128,4096,204.299,0.269525
1,8,4096,128,4096,407.854,0.270017
1,8,1,256,128,14.679,0.000114
1,8,2,256,128,15.76,0.000213
1,8,4,256,128,15.583,0.000431
1,8,8,256,128,15.573,0.000863
1,8,16,256,128,15.543,0.00173
1,8,32,256,128,15.639,0.003438
1,8,64,256,128,15.766,0.006822
1,8,128,256,128,16.111,0.013351
1,8,256,256,128,15.367,0.027993
1,8,512,256,128,15.816,0.0544
1,8,1024,256,128,15.248,0.112851
1,8,2048,256,128,16.945,0.203093
1,8,4096,256,128,28.446,0.241966
1,8,1,256,256,14.51,0.000232
1,8,2,256,256,15.378,0.000437
1,8,4,256,256,15.183,0.000885
1,8,8,256,256,15.085,0.001782
1,8,16,256,256,15.171,0.003545
1,8,32,256,256,15.166,0.007091
1,8,64,256,256,15.395,0.013972
1,8,128,256,256,15.383,0.027964
1,8,256,256,256,15.248,0.056426
1,8,512,256,256,18.048,0.095341
1,8,1024,256,256,17.04,0.201967
1,8,2048,256,256,27.503,0.250264
1,8,4096,256,256,47.728,0.288424
1,8,1,256,512,14.542,0.000462
1,8,2,256,512,15.285,0.000879
1,8,4,256,512,15.296,0.001758
1,8,8,256,512,15.257,0.003525
1,8,16,256,512,15.246,0.007054
1,8,32,256,512,15.331,0.01403
1,8,64,256,512,15.355,0.028016
1,8,128,256,512,15.772,0.05455
1,8,256,256,512,18.152,0.094798
1,8,512,256,512,30.44,0.113056
1,8,1024,256,512,27.236,0.252717
1,8,2048,256,512,45.027,0.305725
1,8,4096,256,512,85.544,0.321845
1,8,1,256,1024,14.694,0.000915
1,8,2,256,1024,15.465,0.001739
1,8,4,256,1024,15.436,0.003484
1,8,8,256,1024,15.309,0.007025
1,8,16,256,1024,15.414,0.013955
1,8,32,256,1024,15.313,0.028094
1,8,64,256,1024,15.829,0.054355
1,8,128,256,1024,20.516,0.083874
1,8,256,256,1024,30.399,0.11321
1,8,512,256,1024,53.95,0.12758
1,8,1024,256,1024,43.155,0.31899
1,8,2048,256,1024,80.717,0.341089
1,8,4096,256,1024,148.444,0.370939
1,8,1,256,2048,15.653,0.001718
1,8,2,256,2048,16.159,0.003328
1,8,4,256,2048,16.38,0.006566
1,8,8,256,2048,16.045,0.013405
1,8,16,256,2048,16.09,0.026737
1,8,32,256,2048,16.131,0.053335
1,8,64,256,2048,20.814,0.082673
1,8,128,256,2048,35.031,0.098241
1,8,256,256,2048,54.287,0.126788
1,8,512,256,2048,100.704,0.136697
1,8,1024,256,2048,70.994,0.387804
1,8,2048,256,2048,135.023,0.407808
1,8,4096,256,2048,251.48,0.437917
1,8,1,256,4096,15.979,0.003365
1,8,2,256,4096,16.997,0.006327
1,8,4,256,4096,17.101,0.012578
1,8,8,256,4096,17.299,0.024868
1,8,16,256,4096,17.787,0.04837
1,8,32,256,4096,18.76,0.091725
1,8,64,256,4096,33.886,0.10156
1,8,128,256,4096,62.254,0.110563
1,8,256,256,4096,95.247,0.144528
1,8,512,256,4096,180.816,0.152264
1,8,1024,256,4096,139.621,0.394379
1,8,2048,256,4096,263.98,0.417181
1,8,4096,256,4096,501.377,0.4393
1,8,1,512,128,14.475,0.000232
1,8,2,512,128,14.503,0.000463
1,8,4,512,128,14.38,0.000935
1,8,8,512,128,14.521,0.001852
1,8,16,512,128,14.488,0.003712
1,8,32,512,128,14.498,0.007418
1,8,64,512,128,14.814,0.014519
1,8,128,512,128,14.595,0.029474
1,8,256,512,128,15.271,0.056339
1,8,512,512,128,15.234,0.112954
1,8,1024,512,128,16.376,0.210156
1,8,2048,512,128,22.013,0.312681
1,8,4096,512,128,43.67,0.315227
1,8,1,512,256,14.43,0.000466
1,8,2,512,256,14.995,0.000897
1,8,4,512,256,14.96,0.001797
1,8,8,512,256,15.017,0.003581
1,8,16,512,256,14.861,0.007237
1,8,32,512,256,14.948,0.01439
1,8,64,512,256,14.879,0.028913
1,8,128,512,256,14.577,0.059021
1,8,256,512,256,14.863,0.115775
1,8,512,512,256,15.79,0.21795
1,8,1024,512,256,20.85,0.330119
1,8,2048,512,256,30.547,0.450653
1,8,4096,512,256,54.574,0.504483
1,8,1,512,512,14.495,0.000927
1,8,2,512,512,14.356,0.001873
1,8,4,512,512,14.445,0.003722
1,8,8,512,512,14.419,0.007459
1,8,16,512,512,14.488,0.014846
1,8,32,512,512,14.414,0.029845
1,8,64,512,512,14.656,0.058703
1,8,128,512,512,14.522,0.118489
1,8,256,512,512,15.628,0.220207
1,8,512,512,512,21.724,0.316833
1,8,1024,512,512,34.596,0.397902
1,8,2048,512,512,48.33,0.569659
1,8,4096,512,512,86.977,0.63308
1,8,1,512,1024,14.746,0.001823
1,8,2,512,1024,14.776,0.003639
1,8,4,512,1024,14.737,0.007298
1,8,8,512,1024,14.635,0.014697
1,8,16,512,1024,14.596,0.029473
1,8,32,512,1024,14.703,0.058518
1,8,64,512,1024,14.738,0.116758
1,8,128,512,1024,18.759,0.183454
1,8,256,512,1024,22.192,0.310157
1,8,512,512,1024,33.298,0.413421
1,8,1024,512,1024,55.33,0.497589
1,8,2048,512,1024,85.522,0.643856
1,8,4096,512,1024,156.391,0.704182
1,8,1,512,2048,15.851,0.003392
1,8,2,512,2048,14.767,0.007283
1,8,4,512,2048,14.88,0.014455
1,8,8,512,2048,15.244,0.028221
1,8,16,512,2048,15.352,0.056043
1,8,32,512,2048,17.222,0.099914
1,8,64,512,2048,19.124,0.179953
1,8,128,512,2048,28.315,0.243084
1,8,256,512,2048,32.828,0.419335
1,8,512,512,2048,56.702,0.485553
1,8,1024,512,2048,98.334,0.559966
1,8,2048,512,2048,154.023,0.715004
1,8,4096,512,2048,293.928,0.74935
1,8,1,512,4096,27.603,0.003896
1,8,2,512,4096,30.731,0.006999
1,8,4,512,4096,31.198,0.013789
1,8,8,512,4096,31.881,0.026987
1,8,16,512,4096,33.375,0.051557
1,8,32,512,4096,35.166,0.097865
1,8,64,512,4096,39.431,0.174558
1,8,128,512,4096,52.033,0.264562
1,8,256,512,4096,59.016,0.466514
1,8,512,512,4096,99.893,0.551226
1,8,1024,512,4096,182.377,0.603845
1,8,2048,512,4096,296.016,0.744065
1,8,4096,512,4096,574.146,0.767243
1,8,1,1024,128,15.035,0.000447
1,8,2,1024,128,15.018,0.000895
1,8,4,1024,128,14.962,0.001797
1,8,8,1024,128,15.028,0.003578
1,8,16,1024,128,15.023,0.007159
1,8,32,1024,128,14.89,0.014446
1,8,64,1024,128,14.56,0.029545
