op,world_size,m,h,num_bytes,latency_us,algbw_gbps,busbw_gbps,busbw_ratio
all_reduce,4,1,2048,4096,155.218,0.026,0.04,0.000132
all_reduce,4,2,2048,8192,117.371,0.07,0.105,0.000349
all_reduce,4,4,2048,16384,98.447,0.166,0.25,0.000832
all_reduce,4,8,2048,32768,101.519,0.323,0.484,0.001614
all_reduce,4,16,2048,65536,83.825,0.782,1.173,0.003909
all_reduce,4,32,2048,131072,93.962,1.395,2.092,0.006975
all_reduce,4,64,2048,262144,97.321,2.694,4.04,0.013468
all_reduce,4,128,2048,524288,88.453,5.927,8.891,0.029636
all_reduce,4,256,2048,1048576,83.599,12.543,18.814,0.062714
all_reduce,4,512,2048,2097152,73.585,28.5,42.75,0.142499
all_reduce,4,1024,2048,4194304,87.982,47.672,71.508,0.238361
all_reduce,4,2048,2048,8388608,138.936,60.377,90.566,0.301887
all_reduce,4,4096,2048,16777216,219.095,76.575,114.863,0.382875
all_reduce,4,8192,2048,33554432,341.934,98.131,147.197,0.490656
all_reduce,4,16384,2048,67108864,625.951,107.211,160.817,0.536055
all_reduce,4,32768,2048,134217728,1112.33,120.664,180.995,0.603318
all_reduce,4,65536,2048,268435456,1954.775,137.323,205.984,0.686615
all_reduce,4,131072,2048,536870912,3787.244,141.758,212.637,0.708788
all_reduce,4,1,4096,8192,29.614,0.277,0.415,0.001383
all_reduce,4,2,4096,16384,28.959,0.566,0.849,0.002829
all_reduce,4,4,4096,32768,28.733,1.14,1.711,0.005702
all_reduce,4,8,4096,65536,32.604,2.01,3.015,0.01005
all_reduce,4,16,4096,131072,41.124,3.187,4.781,0.015936
all_reduce,4,32,4096,262144,29.696,8.828,13.241,0.044138
all_reduce,4,64,4096,524288,29.86,17.558,26.337,0.087791
all_reduce,4,128,4096,1048576,29.942,35.021,52.531,0.175103
all_reduce,4,256,4096,2097152,47.411,44.233,66.35,0.221166
all_reduce,4,512,4096,4194304,68.157,61.538,92.308,0.307692
all_reduce,4,1024,4096,8388608,109.22,76.805,115.207,0.384024
all_reduce,4,2048,4096,16777216,184.115,91.123,136.685,0.455617
all_reduce,4,4096,4096,33554432,451.584,74.304,111.456,0.371519
all_reduce,4,8192,4096,67108864,552.94,121.367,182.051,0.606837
all_reduce,4,16384,4096,134217728,1025.29,130.907,196.361,0.654535
all_reduce,4,32768,4096,268435456,1958.011,137.096,205.644,0.68548
all_reduce,4,65536,4096,536870912,3791.565,141.596,212.394,0.707981
all_reduce,4,131072,4096,1073741824,7405.138,145.0,217.499,0.724998
all_reduce,4,1,8192,16384,28.856,0.568,0.852,0.002839
all_reduce,4,2,8192,32768,28.283,1.159,1.738,0.005793
all_reduce,4,4,8192,65536,29.553,2.218,3.326,0.011088
all_reduce,4,8,8192,131072,29.184,4.491,6.737,0.022456
all_reduce,4,16,8192,262144,28.836,9.091,13.636,0.045455
all_reduce,4,32,8192,524288,29.102,18.015,27.023,0.090077
all_reduce,4,64,8192,1048576,29.307,35.779,53.669,0.178896
all_reduce,4,128,8192,2097152,46.122,45.47,68.205,0.22735
all_reduce,4,256,8192,4194304,68.383,61.336,92.004,0.306679
all_reduce,4,512,8192,8388608,109.261,76.776,115.164,0.38388
all_reduce,4,1024,8192,16777216,184.156,91.103,136.655,0.455516
all_reduce,4,2048,8192,33554432,294.072,114.103,171.154,0.570513
all_reduce,4,4096,8192,67108864,552.428,121.48,182.22,0.6074
