m,k,n,latency_us,mfu
1,128,128,25.266,4e-06
2,128,128,26.046,8e-06
4,128,128,25.774,1.6e-05
8,128,128,26.674,3.1e-05
16,128,128,25.758,6.5e-05
32,128,128,25.796,0.00013
64,128,128,26.603,0.000253
128,128,128,30.857,0.000436
256,128,128,32.689,0.000822
512,128,128,32.946,0.001632
1024,128,128,25.629,0.004196
2048,128,128,29.547,0.00728
4096,128,128,24.721,0.017402
8192,128,128,28.271,0.030432
16384,128,128,27.586,0.062377
32768,128,128,28.363,0.121337
1,128,256,24.843,8e-06
2,128,256,26.153,1.6e-05
4,128,256,25.787,3.3e-05
8,128,256,26.161,6.4e-05
16,128,256,26.084,0.000129
32,128,256,25.584,0.000263
64,128,256,33.411,0.000402
128,128,256,33.603,0.0008
256,128,256,33.792,0.001591
512,128,256,33.54,0.003207
1024,128,256,26.038,0.008261
2048,128,256,32.481,0.013244
4096,128,256,31.811,0.027047
8192,128,256,26.664,0.064535
16384,128,256,27.303,0.126049
32768,128,256,28.776,0.239191
1,128,512,25.134,1.7e-05
2,128,512,25.59,3.3e-05
4,128,512,26.08,6.4e-05
8,128,512,26.326,0.000128
16,128,512,25.63,0.000262
32,128,512,25.725,0.000523
64,128,512,25.324,0.001062
128,128,512,25.792,0.002085
256,128,512,20.42,0.005267
512,128,512,20.58,0.010452
1024,128,512,20.591,0.020892
2048,128,512,24.603,0.03497
4096,128,512,19.805,0.086885
8192,128,512,19.829,0.17356
16384,128,512,24.831,0.277188
32768,128,512,49.558,0.277773
1,128,1024,33.463,2.5e-05
2,128,1024,35.06,4.8e-05
4,128,1024,35.164,9.6e-05
8,128,1024,35.684,0.000188
16,128,1024,25.425,0.000529
32,128,1024,31.853,0.000844
64,128,1024,31.961,0.001682
128,128,1024,25.039,0.004295
256,128,1024,25.117,0.008563
512,128,1024,26.266,0.016378
1024,128,1024,31.747,0.027101
2048,128,1024,36.375,0.047306
4096,128,1024,25.914,0.132805
8192,128,1024,26.661,0.258167
16384,128,1024,41.937,0.328251
32768,128,1024,116.189,0.236958
1,128,2048,60.004,2.8e-05
2,128,2048,88.378,3.8e-05
4,128,2048,63.187,0.000106
8,128,2048,63.433,0.000212
16,128,2048,61.036,0.000441
32,128,2048,76.169,0.000706
64,128,2048,77.331,0.001391
128,128,2048,61.059,0.003523
256,128,2048,62.445,0.006889
512,128,2048,55.975,0.015371
1024,128,2048,49.917,0.034472
2048,128,2048,61.164,0.056267
4096,128,2048,44.248,0.155554
8192,128,2048,63.394,0.217147
16384,128,2048,115.39,0.238597
32768,128,2048,171.229,0.32158
1,128,4096,60.09,5.6e-05
2,128,4096,60.648,0.000111
4,128,4096,61.185,0.00022
8,128,4096,62.153,0.000433
16,128,4096,62.512,0.00086
32,128,4096,60.951,0.001764
64,128,4096,60.13,0.003577
128,128,4096,59.095,0.00728
256,128,4096,76.726,0.011214
512,128,4096,84.146,0.02045
1024,128,4096,50.671,0.067918
2048,128,4096,66.504,0.103496
4096,128,4096,59.634,0.23084
8192,128,4096,76.871,0.358155
16384,128,4096,167.591,0.328559
32768,128,4096,324.325,0.339559
1,128,8192,31.691,0.000212
2,128,8192,34.37,0.000391
4,128,8192,33.093,0.000812
8,128,8192,32.606,0.001649
16,128,8192,33.735,0.003188
32,128,8192,34.779,0.006185
64,128,8192,33.387,0.012885
128,128,8192,32.733,0.026284
256,128,8192,33.873,0.050799
512,128,8192,34.197,0.100637
1024,128,8192,42.483,0.162016
2048,128,8192,44.007,0.312816
4096,128,8192,77.438,0.355535
8192,128,8192,143.558,0.383564
16384,128,8192,278.736,0.395096
32768,128,8192,633.278,0.347801
1,128,14336,25.066,0.000469
2,128,14336,25.382,0.000927
4,128,14336,26.59,0.00177
8,128,14336,26.544,0.003545
16,128,14336,25.186,0.007473
32,128,14336,24.888,0.015124
64,128,14336,23.621,0.031871
128,128,14336,24.325,0.061898
256,128,14336,24.506,0.122878
512,128,14336,26.863,0.224197
1024,128,14336,42.453,0.283731
2048,128,14336,68.219,0.353132
4096,128,14336,126.997,0.379385
8192,128,14336,244.891,0.393487
16384,128,14336,482.594,0.399348
32768,128,14336,1001.667,0.384804
1,128,131072,29.417,0.003656
2,128,131072,37.439,0.005745
4,128,131072,31.469,0.01367
8,128,131072,33.336,0.025809
16,128,131072,44.005,0.039103
32,128,131072,43.871,0.078445
64,128,131072,54.241,0.126896
128,128,131072,67.146,0.205013
256,128,131072,93.479,0.294525
512,128,131072,160.641,0.342776
1024,128,131072,285.809,0.385318
2048,128,131072,781.192,0.281947
4096,128,131072,1149.893,0.383087
8192,128,131072,2400.321,0.367042
16384,128,131072,4826.48,0.365077
32768,128,131072,9685.095,0.363866
1,256,128,17.607,1.2e-05
2,256,128,17.71,2.4e-05
4,256,128,17.594,4.8e-05
8,256,128,19.478,8.6e-05
16,256,128,17.902,0.000188
32,256,128,19.756,0.00034
64,256,128,24.692,0.000544
128,256,128,25.0,0.001075
256,256,128,24.861,0.002163
512,256,128,23.654,0.004547
1024,256,128,19.452,0.011058
2048,256,128,25.829,0.016655
4096,256,128,18.911,0.045495
8192,256,128,19.944,0.086281
16384,256,128,20.481,0.168036
32768,256,128,24.65,0.279225
1,256,256,16.9,2.5e-05
2,256,256,17.797,4.7e-05
4,256,256,20.143,8.3e-05
8,256,256,17.525,0.000192
16,256,256,17.523,0.000384
32,256,256,25.168,0.000534
64,256,256,25.303,0.001063
128,256,256,23.596,0.002279
256,256,256,25.244,0.00426
512,256,256,25.34,0.008488
1024,256,256,22.536,0.019089
2048,256,256,25.08,0.034304
4096,256,256,23.872,0.072082
8192,256,256,19.116,0.180029
16384,256,256,21.833,0.31525
32768,256,256,32.166,0.427961
1,256,512,17.361,4.8e-05
2,256,512,17.618,9.5e-05
4,256,512,17.418,0.000193
8,256,512,18.104,0.000371
16,256,512,18.978,0.000708
32,256,512,24.547,0.001095
64,256,512,24.49,0.002196
128,256,512,24.719,0.004351
256,256,512,26.019,0.008267
512,256,512,20.122,0.021379
1024,256,512,19.025,0.045223
2048,256,512,26.201,0.065674
4096,256,512,22.272,0.15452
8192,256,512,21.457,0.320785
16384,256,512,31.365,0.438891
32768,256,512,56.336,0.488704
1,256,1024,17.259,9.7e-05
2,256,1024,18.198,0.000185
4,256,1024,17.632,0.000381
8,256,1024,19.452,0.000691
16,256,1024,19.263,0.001396
32,256,1024,25.076,0.002144
64,256,1024,24.902,0.004319
128,256,1024,19.236,0.011182
256,256,1024,19.04,0.022594
512,256,1024,18.581,0.046304
1024,256,1024,18.697,0.092032
2048,256,1024,26.383,0.130444
4096,256,1024,24.662,0.279092
8192,256,1024,30.829,0.446529
16384,256,1024,53.987,0.509976
32768,256,1024,99.573,0.552997
1,256,2048,16.948,0.000198
2,256,2048,17.48,0.000385
4,256,2048,19.673,0.000683
8,256,2048,19.728,0.001363
16,256,2048,19.228,0.002797
32,256,2048,22.35,0.004812
64,256,2048,23.901,0.008999
128,256,2048,19.092,0.022532
256,256,2048,19.212,0.044784
512,256,2048,19.164,0.089791
1024,256,2048,23.986,0.143479
2048,256,2048,26.151,0.263205
4096,256,2048,30.876,0.445847
8192,256,2048,53.193,0.517589
16384,256,2048,96.409,0.571149
32768,256,2048,186.766,0.589654
1,256,4096,16.903,0.000398
2,256,4096,19.366,0.000694
4,256,4096,19.789,0.001359
8,256,4096,19.424,0.002768
16,256,4096,18.968,0.00567
32,256,4096,17.401,0.012361
64,256,4096,23.762,0.018104
128,256,4096,19.167,0.044889
256,256,4096,19.454,0.088454
512,256,4096,19.756,0.174203
1024,256,4096,21.823,0.315406
2048,256,4096,30.713,0.448208
4096,256,4096,52.545,0.523966
8192,256,4096,94.112,0.585089
16384,256,4096,180.195,0.611158
32768,256,4096,352.867,0.624186
1,256,8192,19.545,0.000688
2,256,8192,19.734,0.001362
4,256,8192,19.444,0.002766
8,256,8192,19.208,0.005599
16,256,8192,19.256,0.01117
32,256,8192,19.92,0.021596
64,256,8192,19.404,0.044341
128,256,8192,18.464,0.093196
256,256,8192,20.101,0.171212
512,256,8192,21.548,0.31943
1024,256,8192,31.666,0.434723
2048,256,8192,53.707,0.512628
4096,256,8192,95.492,0.57663
8192,256,8192,180.944,0.608625
16384,256,8192,358.626,0.614163
32768,256,8192,748.228,0.588737
1,256,14336,20.038,0.001174
2,256,14336,19.427,0.002422
4,256,14336,19.442,0.00484
8,256,14336,19.994,0.009413
16,256,14336,19.924,0.018892
32,256,14336,18.852,0.039934
64,256,14336,19.222,0.078331
128,256,14336,20.406,0.147565
256,256,14336,22.986,0.26201
512,256,14336,33.24,0.362368
1024,256,14336,56.866,0.423635
2048,256,14336,89.022,0.541221
4096,256,14336,167.335,0.575861
8192,256,14336,334.59,0.575997
16384,256,14336,663.231,0.581164
32768,256,14336,1428.921,0.539492
1,256,131072,57.079,0.003768
2,256,131072,57.587,0.00747
4,256,131072,58.677,0.014663
8,256,131072,67.573,0.025465
16,256,131072,69.639,0.049419
